1_G,2_G,3_G,4_G,5_G,6_1_G,6_2_G,7_G,8_G,9_G,10_G,11_G,12_G,13_G,14_G
78.4,80.1,78.4,0,0,16.2,0.0,0,0.0,0,0,0,0,0,0
78.3,80.0,78.3,0,0,16.2,0.0,0,0.0,0,0,0,0,0,0
78.1,79.7,78.1,0,0,16.3,0.0,0,0.0,0,0,0,0,0,0
77.7,79.4,77.7,0,0,16.3,0.0,0,0.0,0,0,0,0,0,0
77.4,79.0,77.4,0,0,16.3,0.0,0,0.0,0,0,0,0,0,0
76.9,78.6,76.9,0,0,16.3,0.0,0,0.0,0,0,0,0,0,0
76.4,78.1,76.4,0,0,16.3,0.0,0,0.0,0,0,0,0,0,0
75.9,77.5,75.9,0,0,16.3,0.0,0,0.0,0,0,0,0,0,0
75.3,77.0,75.3,0,0,16.3,0.0,0,0.0,0,0,0,0,0,0
74.8,76.4,74.8,0,0,16.2,0.0,0,0.0,0,0,0,0,0,0
74.3,75.9,74.3,0,0,16.1,0.0,0,0.0,0,0,0,0,0,0
73.9,75.5,73.9,0,0,16.1,0.0,0,0.0,0,0,0,0,0,0
73.6,75.2,73.6,0,0,16.0,0.0,0,0.0,0,0,0,0,0,0
73.4,75.0,73.4,0,0,15.9,0.0,0,0.0,0,0,0,0,0,0
73.3,74.9,73.3,0,0,15.8,0.0,0,0.0,0,0,0,0,0,0
73.3,74.9,73.3,0,0,15.7,0.0,0,0.0,0,0,0,0,0,0
73.3,74.9,73.3,0,0,15.6,0.0,0,0.0,0,0,0,0,0,0
73.3,74.9,73.3,0,0,15.4,0.0,0,0.0,0,0,0,0,0,0
73.4,74.9,73.4,0,0,15.3,0.0,0,0.0,0,0,0,0,0,0
73.3,74.9,73.3,0,0,15.1,0.0,0,0.0,0,0,0,0,0,0
73.2,74.8,73.2,0,0,15.0,0.0,0,0.0,0,0,0,0,0,0
73.2,74.7,73.2,0,0,14.8,0.0,0,0.0,0,0,0,0,0,0
73.0,74.6,73.0,0,0,14.7,0.0,0,0.0,0,0,0,0,0,0
73.0,74.6,73.0,0,0,14.5,0.0,0,0.0,0,0,0,0,0,0
72.9,74.5,72.9,0,0,14.3,0.0,0,0.0,0,0,0,0,0,0
72.9,74.5,72.9,0,0,14.2,0.0,0,0.0,0,0,0,0,0,0
72.9,74.5,72.9,0,0,14.0,0.0,0,0.0,0,0,0,0,0,0
72.9,74.5,72.9,0,0,13.8,0.0,0,0.0,0,0,0,0,0,0
72.9,74.5,72.9,0,0,13.6,0.0,0,0.0,0,0,0,0,0,0
72.8,74.4,72.8,0,0,13.5,0.0,0,0.0,0,0,0,0,0,0
72.6,74.2,72.6,0,0,13.3,0.0,0,0.0,0,0,0,0,0,0
72.4,74.0,72.4,0,0,13.1,0.0,0,0.0,0,0,0,0,0,0
72.1,73.6,72.1,0,0,13.0,0.0,0,0.0,0,0,0,0,0,0
71.7,73.2,71.7,0,0,12.8,0.0,0,0.0,0,0,0,0,0,0
71.3,72.8,71.3,0,0,12.7,0.0,0,0.0,0,0,0,0,0,0
70.9,72.5,70.9,0,0,12.5,0.0,0,0.0,0,0,0,0,0,0
70.6,72.1,70.6,0,0,12.4,0.0,0,0.0,0,0,0,0,0,0
70.3,71.9,70.3,0,0,12.2,0.0,0,0.0,0,0,0,0,0,0
70.1,71.7,70.1,0,0,12.0,0.0,0,0.0,0,0,0,0,0,0
69.9,71.5,69.9,0,0,11.9,0.0,0,0.0,0,0,0,0,0,0
69.8,71.3,69.8,0,0,11.8,0.0,0,0.0,0,0,0,0,0,0
69.6,71.1,69.6,0,0,11.7,0.0,0,0.0,0,0,0,0,0,0
69.5,71.0,69.5,0,0,11.6,0.0,0,0.0,0,0,0,0,0,0
69.3,70.8,69.3,0,0,11.5,0.0,0,0.0,0,0,0,0,0,0
69.0,70.5,69.0,0,0,11.4,0.0,0,0.0,0,0,0,0,0,0
68.8,70.3,68.8,0,0,11.3,0.0,0,0.0,0,0,0,0,0,0
68.5,70.0,68.5,0,0,11.2,0.0,0,0.0,0,0,0,0,0,0
68.3,69.8,68.3,0,0,11.1,0.0,0,0.0,0,0,0,0,0,0
68.1,69.6,68.1,0,0,11.0,0.0,0,0.0,0,0,0,0,0,0
68.0,69.5,68.0,0,0,11.0,0.0,0,0.0,0,0,0,0,0,0
