load_1_0,load_2_1,load_3_2,load_4_3,load_5_4,load_8_5,load_9_6,load_10_7,load_11_8,load_12_9,load_13_10
23.7,91.4,47.8,7.4,12.5,29.9,9.3,3.7,5.8,13.3,15.6
23.7,91.3,47.9,7.4,12.5,29.9,9.3,3.7,5.8,13.3,15.6
23.7,91.1,47.9,7.4,12.4,29.8,9.3,3.6,5.8,13.3,15.6
23.7,90.8,47.8,7.3,12.4,29.7,9.3,3.6,5.8,13.2,15.6
23.6,90.4,47.7,7.3,12.4,29.6,9.2,3.6,5.7,13.1,15.5
23.6,89.9,47.5,7.3,12.3,29.5,9.2,3.6,5.7,13.1,15.5
23.5,89.4,47.3,7.2,12.2,29.3,9.2,3.6,5.7,13.0,15.4
23.4,88.9,47.1,7.2,12.1,29.1,9.1,3.6,5.6,12.8,15.3
23.3,88.3,46.9,7.2,12.1,28.9,9.0,3.5,5.6,12.7,15.2
23.2,87.7,46.7,7.1,12.0,28.7,9.0,3.5,5.5,12.6,15.1
23.1,87.2,46.5,7.1,11.9,28.5,8.9,3.5,5.5,12.5,15.0
23.1,86.7,46.3,7.0,11.8,28.3,8.9,3.5,5.5,12.4,15.0
23.0,86.3,46.2,7.0,11.8,28.2,8.8,3.4,5.4,12.3,14.9
23.0,86.1,46.1,7.0,11.7,28.2,8.8,3.4,5.4,12.3,14.9
23.0,85.9,46.1,7.0,11.7,28.1,8.8,3.4,5.4,12.3,14.9
23.0,85.8,46.1,7.0,11.7,28.2,8.8,3.4,5.4,12.3,14.9
23.0,85.8,46.1,7.0,11.7,28.2,8.8,3.4,5.4,12.3,14.9
23.0,85.7,46.1,7.0,11.7,28.2,8.8,3.4,5.4,12.2,14.9
23.1,85.6,46.1,7.0,11.7,28.2,8.8,3.4,5.4,12.2,14.9
23.1,85.5,46.1,7.0,11.7,28.2,8.8,3.4,5.4,12.2,14.9
23.1,85.3,46.0,7.0,11.7,28.2,8.8,3.4,5.4,12.2,14.8
23.1,85.1,46.0,7.0,11.7,28.2,8.8,3.4,5.4,12.1,14.8
23.1,84.9,46.0,6.9,11.7,28.1,8.7,3.4,5.4,12.1,14.8
23.1,84.8,45.9,6.9,11.6,28.1,8.7,3.4,5.4,12.1,14.8
23.1,84.6,45.9,6.9,11.6,28.0,8.7,3.4,5.4,12.0,14.8
23.1,84.5,45.9,6.9,11.6,28.0,8.7,3.4,5.3,12.0,14.7
23.1,84.4,45.9,6.9,11.6,28.0,8.7,3.4,5.3,12.0,14.7
23.1,84.3,45.9,6.9,11.6,28.0,8.7,3.4,5.3,12.0,14.7
23.0,84.1,45.9,6.9,11.5,28.0,8.7,3.4,5.3,12.0,14.7
23.0,84.0,45.9,6.9,11.5,27.9,8.7,3.4,5.3,11.9,14.7
22.9,83.7,45.8,6.9,11.5,27.9,8.7,3.4,5.3,11.9,14.7
22.8,83.3,45.6,6.8,11.4,27.8,8.6,3.4,5.3,11.8,14.6
22.7,82.9,45.4,6.8,11.4,27.6,8.6,3.3,5.2,11.7,14.5
22.5,82.4,45.1,6.7,11.3,27.5,8.5,3.3,5.2,11.6,14.5
22.4,81.9,44.9,6.7,11.2,27.3,8.5,3.3,5.2,11.6,14.4
22.3,81.4,44.6,6.7,11.2,27.2,8.4,3.3,5.1,11.5,14.3
22.2,81.0,44.4,6.6,11.1,27.1,8.4,3.3,5.1,11.4,14.2
22.1,80.6,44.2,6.6,11.1,26.9,8.3,3.3,5.1,11.3,14.2
22.0,80.2,44.1,6.6,11.0,26.9,8.3,3.2,5.0,11.3,14.1
22.0,79.9,43.9,6.5,11.0,26.8,8.3,3.2,5.0,11.2,14.1
21.9,79.7,43.8,6.5,10.9,26.7,8.2,3.2,5.0,11.2,14.1
21.9,79.4,43.7,6.5,10.9,26.6,8.2,3.2,5.0,11.1,14.0
21.8,79.1,43.6,6.5,10.8,26.6,8.2,3.2,4.9,11.1,14.0
21.7,78.8,43.4,6.4,10.8,26.5,8.1,3.2,4.9,11.0,13.9
21.6,78.4,43.2,6.4,10.8,26.4,8.1,3.2,4.9,11.0,13.9
21.6,78.1,43.0,6.4,10.7,26.3,8.1,3.1,4.9,10.9,13.8
21.5,77.8,42.8,6.4,10.7,26.1,8.1,3.1,4.9,10.9,13.8
21.4,77.5,42.6,6.3,10.6,26.1,8.0,3.1,4.8,10.8,13.7
21.3,77.3,42.5,6.3,10.6,26.0,8.0,3.1,4.8,10.8,13.7
21.2,77.1,42.4,6.3,10.6,25.9,8.0,3.1,4.8,10.7,13.7
21.2,76.9,42.3,6.3,10.6,25.9,8.0,3.1,4.8,10.7,13.6
21.1,76.8,42.2,6.3,10.5,25.9,7.9,3.1,4.8,10.6,13.6
21.1,76.7,42.2,6.3,10.5,25.9,7.9,3.1,4.8,10.6,13.6
21.0,76.6,42.2,6.3,10.5,25.8,7.9,3.1,4.7,10.6,13.6
21.0,76.5,42.1,6.3,10.5,25.8,7.9,3.1,4.7,10.6,13.6
20.9,76.3,42.0,6.2,10.5,25.8,7.9,3.1,4.7,10.5,13.6
20.9,76.2,41.9,6.2,10.4,25.7,7.9,3.1,4.7,10.5,13.5
20.8,76.0,41.8,6.2,10.4,25.7,7.9,3.1,4.7,10.5,13.5
20.8,75.9,41.8,6.2,10.4,25.6,7.8,3.1,4.7,10.5,13.5
20.7,75.8,41.7,6.2,10.4,25.6,7.8,3.0,4.7,10.5,13.5
20.7,75.7,41.7,6.2,10.4,25.6,7.8,3.0,4.7,10.5,13.5
20.7,75.7,41.7,6.2,10.4,25.6,7.8,3.1,4.7,10.5,13.5
20.7,75.7,41.7,6.2,10.4,25.7,7.8,3.1,4.7,10.5,13.5
20.7,75.8,41.7,6.2,10.4,25.7,7.8,3.1,4.7,10.5,13.5
20.7,75.9,41.8,6.2,10.4,25.8,7.8,3.1,4.7,10.5,13.5
20.8,75.9,41.8,6.2,10.4,25.9,7.9,3.1,4.7,10.6,13.5
20.8,76.0,41.8,6.2,10.4,25.9,7.9,3.1,4.7,10.6,13.5
20.7,76.0,41.8,6.2,10.4,25.9,7.9,3.1,4.7,10.6,13.5
20.7,75.9,41.8,6.2,10.4,25.9,7.9,3.1,4.7,10.6,13.5
20.7,75.9,41.8,6.2,10.4,25.9,7.9,3.1,4.7,10.6,13.5
20.7,75.8,41.7,6.2,10.4,25.9,7.9,3.1,4.7,10.6,13.5
20.6,75.8,41.7,6.2,10.4,25.9,7.9,3.1,4.7,10.6,13.5
20.6,75.8,41.7,6.2,10.4,26.0,7.9,3.1,4.7,10.6,13.5
20.6,75.9,41.7,6.2,10.4,26.0,7.9,3.1,4.8,10.6,13.5
20.6,76.0,41.7,6.2,10.4,26.1,7.9,3.1,4.8,10.7,13.5
20.6,76.1,41.8,6.2,10.4,26.1,7.9,3.1,4.8,10.7,13.5
20.6,76.2,41.9,6.2,10.5,26.2,7.9,3.1,4.8,10.7,13.5
20.6,76.3,41.9,6.2,10.5,26.3,7.9,3.1,4.8,10.7,13.6
20.6,76.4,42.0,6.2,10.5,26.3,8.0,3.1,4.8,10.8,13.6
20.6,76.4,42.0,6.2,10.5,26.4,8.0,3.1,4.8,10.7,13.6
20.6,76.4,42.1,6.2,10.5,26.4,8.0,3.1,4.8,10.7,13.6
20.6,76.4,42.1,6.2,10.5,26.4,8.0,3.1,4.8,10.7,13.6
20.6,76.4,42.1,6.2,10.5,26.4,8.0,3.1,4.8,10.6,13.6
20.5,76.4,42.1,6.2,10.5,26.5,8.0,3.1,4.8,10.6,13.6
20.5,76.4,42.1,6.2,10.5,26.5,8.0,3.1,4.8,10.6,13.6
20.5,76.4,42.2,6.2,10.5,26.5,8.0,3.1,4.8,10.5,13.6
20.5,76.5,42.2,6.3,10.5,26.6,8.0,3.1,4.8,10.5,13.6
20.5,76.6,42.3,6.3,10.5,26.6,8.0,3.1,4.8,10.6,13.7
20.5,76.7,42.3,6.3,10.6,26.7,8.0,3.1,4.8,10.6,13.7
20.5,76.8,42.4,6.3,10.6,26.7,8.0,3.1,4.8,10.6,13.7
20.5,77.0,42.4,6.3,10.6,26.7,8.0,3.1,4.8,10.6,13.7
20.5,77.2,42.4,6.3,10.6,26.7,8.0,3.1,4.8,10.7,13.8
20.5,77.3,42.5,6.3,10.6,26.7,8.0,3.1,4.8,10.7,13.8
20.6,77.5,42.5,6.3,10.6,26.7,7.9,3.1,4.8,10.7,13.8
20.6,77.7,42.5,6.3,10.6,26.7,7.9,3.1,4.8,10.7,13.9
20.6,77.9,42.6,6.3,10.6,26.7,7.9,3.1,4.8,10.8,13.9
20.6,78.0,42.5,6.3,10.6,26.7,7.9,3.1,4.8,10.8,13.9
20.6,78.1,42.5,6.3,10.6,26.7,7.9,3.1,4.8,10.8,13.9
20.6,78.3,42.5,6.3,10.6,26.7,8.0,3.1,4.8,10.9,13.9
20.6,78.4,42.5,6.3,10.6,26.8,8.0,3.1,4.9,10.9,13.9
20.7,78.5,42.4,6.3,10.6,26.9,8.0,3.1,4.9,11.0,13.9
20.7,78.6,42.4,6.3,10.6,27.0,8.0,3.2,4.9,11.0,13.9
20.7,78.7,42.5,6.3,10.7,27.0,8.0,3.2,4.9,11.0,13.9
20.7,78.8,42.5,6.3,10.7,27.1,8.1,3.2,5.0,11.1,13.9
20.7,78.9,42.6,6.4,10.7,27.2,8.1,3.2,5.0,11.1,14.0
20.7,79.1,42.7,6.4,10.8,27.2,8.1,3.2,5.0,11.2,14.0
20.7,79.3,42.8,6.4,10.8,27.3,8.1,3.2,5.0,11.2,14.1
20.7,79.5,42.9,6.4,10.8,27.4,8.2,3.2,5.0,11.3,14.1
20.7,79.7,43.0,6.5,10.9,27.4,8.2,3.2,5.1,11.3,14.1
20.8,80.0,43.2,6.5,10.9,27.5,8.2,3.3,5.1,11.4,14.2
20.8,80.3,43.3,6.5,11.0,27.6,8.2,3.3,5.1,11.4,14.2
20.8,80.6,43.4,6.5,11.0,27.6,8.2,3.3,5.1,11.5,14.3
20.9,80.9,43.6,6.6,11.1,27.7,8.3,3.3,5.1,11.5,14.3
20.9,81.2,43.7,6.6,11.1,27.7,8.3,3.3,5.2,11.6,14.4
21.0,81.5,43.8,6.6,11.1,27.8,8.3,3.3,5.2,11.6,14.4
21.0,81.8,43.9,6.6,11.1,27.8,8.3,3.3,5.2,11.6,14.4
21.1,82.0,44.0,6.6,11.2,27.8,8.3,3.3,5.2,11.6,14.5
21.1,82.3,44.1,6.7,11.2,27.8,8.3,3.3,5.2,11.7,14.5
21.1,82.5,44.1,6.7,11.2,27.8,8.3,3.4,5.2,11.7,14.5
21.1,82.8,44.2,6.7,11.2,27.8,8.3,3.4,5.2,11.7,14.6
21.2,83.0,44.3,6.7,11.2,27.8,8.3,3.4,5.2,11.7,14.6
21.2,83.2,44.3,6.7,11.3,27.8,8.3,3.4,5.2,11.8,14.6
21.3,83.4,44.4,6.8,11.3,27.8,8.3,3.4,5.3,11.8,14.6
21.3,83.6,44.4,6.8,11.3,27.8,8.4,3.4,5.3,11.8,14.6
21.3,83.8,44.4,6.8,11.3,27.8,8.4,3.4,5.3,11.8,14.6
21.4,84.0,44.4,6.8,11.4,27.8,8.4,3.4,5.3,11.9,14.6
21.4,84.1,44.5,6.8,11.4,27.8,8.4,3.4,5.3,11.9,14.6
21.4,84.3,44.5,6.9,11.4,27.7,8.4,3.4,5.3,11.9,14.6
21.4,84.4,44.5,6.9,11.4,27.7,8.4,3.4,5.3,11.9,14.6
21.4,84.4,44.5,6.9,11.4,27.6,8.3,3.4,5.3,11.9,14.6
21.4,84.5,44.5,6.9,11.4,27.6,8.3,3.4,5.3,11.9,14.6
21.4,84.6,44.4,6.9,11.4,27.5,8.3,3.4,5.3,11.9,14.6
21.4,84.7,44.4,6.9,11.4,27.5,8.3,3.4,5.3,11.9,14.6
21.4,84.8,44.4,6.9,11.4,27.5,8.3,3.4,5.3,11.9,14.6
21.4,84.9,44.4,6.9,11.4,27.4,8.3,3.4,5.3,11.9,14.6
21.4,85.0,44.4,6.9,11.4,27.4,8.3,3.4,5.3,11.9,14.6
21.4,85.1,44.4,6.9,11.4,27.4,8.3,3.4,5.3,12.0,14.6
21.4,85.2,44.3,7.0,11.4,27.4,8.3,3.4,5.3,12.0,14.6
21.5,85.3,44.3,7.0,11.5,27.4,8.3,3.5,5.3,12.0,14.6
21.5,85.4,44.3,7.0,11.5,27.4,8.3,3.5,5.3,12.0,14.6
21.5,85.5,44.3,7.0,11.5,27.3,8.3,3.5,5.3,12.1,14.6
21.5,85.6,44.3,7.0,11.5,27.3,8.3,3.5,5.4,12.1,14.6
21.5,85.7,44.3,7.0,11.5,27.3,8.3,3.5,5.4,12.1,14.6
21.5,85.8,44.3,7.0,11.5,27.2,8.3,3.5,5.4,12.1,14.6
21.5,85.9,44.3,7.0,11.5,27.2,8.3,3.5,5.4,12.1,14.6
21.5,85.9,44.3,7.0,11.5,27.2,8.3,3.5,5.4,12.2,14.6
21.4,86.0,44.3,7.0,11.5,27.2,8.3,3.5,5.4,12.2,14.6
21.4,86.1,44.3,7.0,11.5,27.2,8.3,3.5,5.4,12.2,14.5
21.4,86.2,44.3,7.0,11.5,27.1,8.3,3.5,5.4,12.2,14.5
21.4,86.3,44.3,7.1,11.5,27.1,8.3,3.5,5.4,12.2,14.5
21.5,86.5,44.3,7.1,11.5,27.2,8.3,3.5,5.4,12.2,14.5
21.5,86.6,44.4,7.1,11.5,27.2,8.3,3.5,5.4,12.2,14.5
21.5,86.7,44.4,7.1,11.5,27.2,8.3,3.5,5.4,12.3,14.5
21.6,86.8,44.5,7.1,11.6,27.2,8.4,3.5,5.4,12.3,14.5
21.6,86.8,44.5,7.1,11.5,27.2,8.4,3.5,5.4,12.3,14.5
21.6,86.8,44.4,7.1,11.5,27.1,8.4,3.5,5.4,12.3,14.5
21.5,86.6,44.3,7.1,11.5,27.0,8.3,3.5,5.4,12.3,14.5
21.5,86.4,44.2,7.1,11.5,26.9,8.3,3.5,5.4,12.2,14.4
21.4,86.0,43.9,7.0,11.4,26.8,8.3,3.5,5.4,12.1,14.4
21.3,85.5,43.6,7.0,11.3,26.6,8.2,3.4,5.3,12.0,14.3
21.1,85.0,43.3,6.9,11.2,26.4,8.1,3.4,5.3,11.9,14.2
21.0,84.5,43.0,6.9,11.2,26.1,8.1,3.4,5.2,11.8,14.1
20.9,84.0,42.7,6.8,11.1,25.9,8.0,3.4,5.2,11.7,14.0
20.7,83.5,42.4,6.8,11.0,25.7,7.9,3.3,5.1,11.6,13.9
20.6,83.1,42.1,6.8,10.9,25.5,7.9,3.3,5.1,11.5,13.8
20.5,82.7,41.9,6.7,10.9,25.3,7.8,3.3,5.1,11.4,13.7
20.4,82.4,41.7,6.7,10.8,25.2,7.8,3.3,5.0,11.4,13.6
