1_G,2_G,3_G,4_G,5_G,6_1_G,6_2_G,7_G,8_G,9_G,10_G,11_G,12_G,13_G,14_G
83.7,84.6,83.3,0,0,10.5,0.0,0,0.0,0,0,0,0,0,0
85.6,87.2,84.2,0,0,10.7,0.0,0,0.0,0,0,0,0,0,0
84.7,86.7,83.9,0,0,10.5,0.0,0,0.0,0,0,0,0,0,0
81.9,84.8,84.8,0,0,10.8,0.0,0,0.0,0,0,0,0,0,0
83.7,84.3,83.1,0,0,10.7,0.0,0,0.0,0,0,0,0,0,0
83.8,85.1,82.2,0,0,11.2,0.0,0,0.0,0,0,0,0,0,0
83.1,84.4,83.3,0,0,11.0,0.0,0,0.0,0,0,0,0,0,0
83.3,85.5,82.7,0,0,10.9,0.0,0,0.0,0,0,0,0,0,0
83.1,82.4,81.6,0,0,11.3,0.0,0,0.0,0,0,0,0,0,0
81.4,84.0,83.6,0,0,11.4,0.0,0,0.0,0,0,0,0,0,0
80.3,82.7,80.2,0,0,11.4,0.0,0,0.0,0,0,0,0,0,0
79.8,82.2,80.8,0,0,11.6,0.0,0,0.0,0,0,0,0,0,0
81.1,80.7,78.9,0,0,11.5,0.0,0,0.0,0,0,0,0,0,0
79.8,81.8,80.0,0,0,11.4,0.0,0,0.0,0,0,0,0,0,0
78.8,81.1,79.0,0,0,11.6,0.0,0,0.0,0,0,0,0,0,0
79.1,79.8,79.8,0,0,11.5,0.0,0,0.0,0,0,0,0,0,0
80.7,81.0,79.9,0,0,11.6,0.0,0,0.0,0,0,0,0,0,0
80.8,80.3,78.9,0,0,11.7,0.0,0,0.0,0,0,0,0,0,0
80.1,82.7,79.9,0,0,11.6,0.0,0,0.0,0,0,0,0,0,0
80.3,80.6,80.2,0,0,11.4,0.0,0,0.0,0,0,0,0,0,0
79.2,81.2,79.0,0,0,11.6,0.0,0,0.0,0,0,0,0,0,0
79.3,82.6,78.0,0,0,11.8,0.0,0,0.0,0,0,0,0,0,0
78.6,81.1,78.8,0,0,11.7,0.0,0,0.0,0,0,0,0,0,0
76.5,80.1,79.1,0,0,11.3,0.0,0,0.0,0,0,0,0,0,0
77.1,80.5,78.3,0,0,11.6,0.0,0,0.0,0,0,0,0,0,0
78.0,81.4,80.0,0,0,11.5,0.0,0,0.0,0,0,0,0,0,0
77.8,78.8,78.4,0,0,11.5,0.0,0,0.0,0,0,0,0,0,0
77.3,80.9,78.1,0,0,11.4,0.0,0,0.0,0,0,0,0,0,0
78.6,78.7,77.4,0,0,11.6,0.0,0,0.0,0,0,0,0,0,0
77.9,79.9,77.9,0,0,11.4,0.0,0,0.0,0,0,0,0,0,0
77.8,78.6,78.1,0,0,11.4,0.0,0,0.0,0,0,0,0,0,0
77.9,80.3,78.4,0,0,11.2,0.0,0,0.0,0,0,0,0,0,0
78.0,80.0,76.2,0,0,11.2,0.0,0,0.0,0,0,0,0,0,0
75.5,78.8,77.8,0,0,11.2,0.0,0,0.0,0,0,0,0,0,0
76.4,78.4,75.7,0,0,11.1,0.0,0,0.0,0,0,0,0,0,0
75.5,78.2,77.5,0,0,11.3,0.0,0,0.0,0,0,0,0,0,0
76.7,78.7,76.3,0,0,11.2,0.0,0,0.0,0,0,0,0,0,0
74.5,76.9,75.6,0,0,11.3,0.0,0,0.0,0,0,0,0,0,0
74.3,76.6,74.3,0,0,11.2,0.0,0,0.0,0,0,0,0,0,0
75.2,76.0,75.0,0,0,11.4,0.0,0,0.0,0,0,0,0,0,0
74.7,77.6,75.1,0,0,11.3,0.0,0,0.0,0,0,0,0,0,0
73.7,76.7,75.3,0,0,11.3,0.0,0,0.0,0,0,0,0,0,0
74.4,74.8,74.2,0,0,11.1,0.0,0,0.0,0,0,0,0,0,0
73.8,74.9,72.6,0,0,11.2,0.0,0,0.0,0,0,0,0,0,0
74.1,76.4,73.4,0,0,11.2,0.0,0,0.0,0,0,0,0,0,0
73.2,76.1,72.9,0,0,11.3,0.0,0,0.0,0,0,0,0,0,0
72.2,74.3,73.0,0,0,11.3,0.0,0,0.0,0,0,0,0,0,0
71.8,74.8,72.5,0,0,11.1,0.0,0,0.0,0,0,0,0,0,0
71.5,72.6,72.9,0,0,11.2,0.0,0,0.0,0,0,0,0,0,0
74.2,75.1,71.7,0,0,11.6,0.0,0,0.0,0,0,0,0,0,0
72.4,74.0,71.9,0,0,11.6,0.0,0,0.0,0,0,0,0,0,0
71.7,72.9,71.2,0,0,11.5,0.0,0,0.0,0,0,0,0,0,0
70.3,72.7,70.7,0,0,11.7,0.0,0,0.0,0,0,0,0,0,0
71.4,73.0,70.4,0,0,11.7,0.0,0,0.0,0,0,0,0,0,0
70.8,72.7,70.8,0,0,11.8,0.0,0,0.0,0,0,0,0,0,0
70.4,73.6,70.1,0,0,12.0,0.0,0,0.0,0,0,0,0,0,0
71.3,73.1,70.4,0,0,12.0,0.0,0,0.0,0,0,0,0,0,0
70.3,71.5,71.0,0,0,12.4,0.0,0,0.0,0,0,0,0,0,0
70.3,71.7,70.7,0,0,12.4,0.0,0,0.0,0,0,0,0,0,0
71.0,71.8,70.5,0,0,12.2,0.0,0,0.0,0,0,0,0,0,0
69.5,70.9,71.0,0,0,12.7,0.0,0,0.0,0,0,0,0,0,0
70.3,71.8,70.2,0,0,12.5,0.0,0,0.0,0,0,0,0,0,0
69.8,71.3,68.4,0,0,13.1,0.0,0,0.0,0,0,0,0,0,0
69.2,72.4,70.3,0,0,13.0,0.0,0,0.0,0,0,0,0,0,0
69.7,71.1,69.7,0,0,13.1,0.0,0,0.0,0,0,0,0,0,0
70.6,71.8,70.6,0,0,13.1,0.0,0,0.0,0,0,0,0,0,0
69.9,72.4,69.3,0,0,13.3,0.0,0,0.0,0,0,0,0,0,0
70.4,71.7,70.2,0,0,13.5,0.0,0,0.0,0,0,0,0,0,0
70.2,70.6,69.5,0,0,13.7,0.0,0,0.0,0,0,0,0,0,0
70.2,72.1,69.4,0,0,13.9,0.0,0,0.0,0,0,0,0,0,0
68.9,72.0,70.3,0,0,13.8,0.0,0,0.0,0,0,0,0,0,0
70.4,71.9,69.1,0,0,13.9,0.0,0,0.0,0,0,0,0,0,0
69.1,71.6,71.0,0,0,14.1,0.0,0,0.0,0,0,0,0,0,0
69.9,72.6,68.9,0,0,14.4,0.0,0,0.0,0,0,0,0,0,0
69.8,71.0,70.8,0,0,14.5,0.0,0,0.0,0,0,0,0,0,0
69.3,71.9,70.3,0,0,14.5,0.0,0,0.0,0,0,0,0,0,0
70.5,73.5,70.6,0,0,14.8,0.0,0,0.0,0,0,0,0,0,0
70.6,72.2,69.7,0,0,14.8,0.0,0,0.0,0,0,0,0,0,0
69.5,71.4,69.2,0,0,14.8,0.0,0,0.0,0,0,0,0,0,0
70.9,71.4,69.0,0,0,14.7,0.0,0,0.0,0,0,0,0,0,0
69.6,71.3,69.2,0,0,15.2,0.0,0,0.0,0,0,0,0,0,0
69.7,70.8,69.9,0,0,15.0,0.0,0,0.0,0,0,0,0,0,0
70.2,71.4,71.0,0,0,15.4,0.0,0,0.0,0,0,0,0,0,0
70.2,71.6,69.9,0,0,15.4,0.0,0,0.0,0,0,0,0,0,0
69.1,70.3,70.7,0,0,15.8,0.0,0,0.0,0,0,0,0,0,0
69.2,70.2,70.1,0,0,15.6,0.1,0,0.0,0,0,0,0,0,0
69.0,70.3,70.0,0,0,15.9,0.2,0,0.1,0,0,0,0,0,0
70.2,71.1,69.7,0,0,15.8,0.3,0,0.1,0,0,0,0,0,0
