gen_0_5,gen_1_0,gen_2_1,gen_5_2,gen_5_3,gen_7_4
79.3,81.0,79.3,13.9,0.0,0.0
79.1,80.8,79.1,14.1,0.0,0.0
78.8,80.5,78.8,14.4,0.0,0.0
78.4,80.1,78.4,14.6,0.0,0.0
77.9,79.6,77.9,14.9,0.0,0.0
77.4,79.1,77.4,15.1,0.0,0.0
76.8,78.5,76.8,15.3,0.0,0.0
76.2,77.8,76.2,15.5,0.0,0.0
75.6,77.2,75.6,15.7,0.0,0.0
74.9,76.5,74.9,15.9,0.0,0.0
74.4,76.0,74.4,16.1,0.0,0.0
73.8,75.4,73.8,16.2,0.0,0.0
73.4,75.0,73.4,16.4,0.0,0.0
73.1,74.7,73.1,16.6,0.0,0.0
73.0,74.5,73.0,16.7,0.0,0.0
72.8,74.4,72.8,16.8,0.0,0.0
72.8,74.3,72.8,17.0,0.0,0.0
72.7,74.3,72.7,17.1,0.0,0.0
72.6,74.2,72.6,17.3,0.0,0.0
72.5,74.0,72.5,17.3,0.0,0.0
72.3,73.8,72.3,17.5,0.0,0.0
72.1,73.7,72.1,17.6,0.0,0.0
71.9,73.4,71.9,17.7,0.0,0.0
71.7,73.3,71.7,17.8,0.0,0.0
71.5,73.1,71.5,17.9,0.0,0.0
71.4,73.0,71.4,18.0,0.0,0.0
71.3,72.9,71.3,18.1,0.0,0.0
71.2,72.8,71.2,18.2,0.0,0.0
71.1,72.6,71.1,18.3,0.0,0.0
70.9,72.5,70.9,18.4,0.0,0.0
70.7,72.2,70.7,18.5,0.0,0.0
70.3,71.8,70.3,18.6,0.0,0.0
69.9,71.4,69.9,18.7,0.0,0.0
69.4,70.9,69.4,18.8,0.0,0.0
68.9,70.4,68.9,18.9,0.0,0.0
68.4,69.9,68.4,19.0,0.0,0.0
68.0,69.4,68.0,19.2,0.0,0.0
67.6,69.1,67.6,19.3,0.0,0.0
67.3,68.8,67.3,19.4,0.0,0.0
67.0,68.5,67.0,19.6,0.0,0.0
66.7,68.2,66.7,19.8,0.0,0.0
66.5,67.9,66.5,20.0,0.0,0.0
66.2,67.6,66.2,20.1,0.0,0.0
65.9,67.3,65.9,20.3,0.0,0.0
65.5,66.9,65.5,20.5,0.0,0.0
65.1,66.5,65.1,20.7,0.0,0.0
64.8,66.2,64.8,21.0,0.0,0.0
64.5,65.8,64.5,21.2,0.0,0.0
64.2,65.6,64.2,21.4,0.0,0.0
63.9,65.3,63.9,21.7,0.0,0.0
63.7,65.1,63.7,22.0,0.0,0.0
63.5,64.9,63.5,22.3,0.0,0.0
63.3,64.7,63.3,22.6,0.0,0.0
63.2,64.5,63.2,23.0,0.0,0.0
63.0,64.4,63.0,23.3,0.0,0.0
62.8,64.1,62.8,23.6,0.0,0.0
62.6,63.9,62.6,24.0,0.0,0.0
62.3,63.7,62.3,24.3,0.0,0.0
62.1,63.5,62.1,24.7,0.0,0.0
61.9,63.3,61.9,25.1,0.0,0.0
61.8,63.2,61.8,25.4,0.0,0.0
61.8,63.1,61.8,25.7,0.0,0.0
61.7,63.1,61.7,26.1,0.0,0.0
61.7,63.1,61.7,26.4,0.0,0.0
61.8,63.1,61.8,26.8,0.0,0.0
61.8,63.1,61.8,27.1,0.0,0.0
61.8,63.1,61.8,27.4,0.0,0.0
61.7,63.0,61.7,27.7,0.0,0.0
61.6,63.0,61.6,28.0,0.0,0.0
61.6,62.9,61.6,28.2,0.0,0.0
61.5,62.8,61.5,28.5,0.0,0.0
61.4,62.8,61.4,28.7,0.0,0.0
61.4,62.8,61.4,28.9,0.0,0.0
61.5,62.8,61.5,29.0,0.0,0.0
61.6,62.9,61.6,29.2,0.0,0.0
61.8,63.1,61.8,29.3,0.0,0.0
61.9,63.2,61.9,29.4,0.0,0.0
62.0,63.4,62.0,29.5,0.0,0.0
62.2,63.5,62.2,29.5,0.0,0.0
62.2,63.6,62.2,29.6,0.0,0.0
62.3,63.6,62.3,29.6,0.0,0.0
62.3,63.7,62.3,29.6,0.0,0.0
62.4,63.7,62.4,29.6,0.0,0.0
62.4,63.7,62.4,29.7,0.0,0.0
62.4,63.8,62.4,29.6,0.1,0.1
62.5,63.8,62.5,29.6,0.2,0.1
62.5,63.9,62.5,29.6,0.3,0.2
62.6,64.0,62.6,29.6,0.4,0.2
62.7,64.1,62.7,29.6,0.5,0.3
62.8,64.2,62.8,29.6,0.6,0.3
62.9,64.3,62.9,29.6,0.7,0.4
63.0,64.4,63.0,29.6,0.9,0.5
63.0,64.3,63.0,29.6,1.3,0.7
62.8,64.2,62.8,29.7,1.9,1.0
62.6,63.9,62.6,29.7,2.6,1.4
62.3,63.6,62.3,29.7,3.3,1.9
62.1,63.5,62.1,29.8,3.9,2.2
62.1,63.4,62.1,29.8,4.2,2.4
62.1,63.5,62.1,29.9,4.3,2.5
62.1,63.4,62.1,30.0,4.6,2.6
61.9,63.2,61.9,30.2,5.2,3.0
61.5,62.8,61.5,30.3,6.2,3.6
61.0,62.3,61.0,30.4,7.3,4.4
60.6,61.9,60.6,30.6,8.3,5.0
60.5,61.8,60.5,30.7,8.8,5.4
60.6,61.9,60.6,30.8,8.9,5.6
60.8,62.1,60.8,31.0,8.7,5.7
61.0,62.3,61.0,31.2,8.6,5.7
61.1,62.4,61.1,31.3,9.0,5.9
60.9,62.2,60.9,31.5,9.8,6.3
60.5,61.9,60.5,31.7,11.1,6.9
60.0,61.3,60.0,31.8,12.9,7.6
59.3,60.5,59.3,32.0,14.9,8.5
