gen_0_4,gen_1_0,gen_2_1,gen_5_2,gen_7_3
78.1,79.8,78.1,23.9,0.0
78.2,79.9,78.2,23.4,0.0
78.1,79.8,78.1,23.0,0.0
77.9,79.6,77.9,22.6,0.0
77.7,79.4,77.7,22.2,0.0
77.3,79.0,77.3,21.9,0.0
76.9,78.6,76.9,21.6,0.0
76.5,78.1,76.5,21.4,0.0
76.0,77.6,76.0,21.2,0.0
75.4,77.1,75.4,21.0,0.0
75.0,76.6,75.0,20.9,0.0
74.6,76.2,74.6,20.7,0.0
74.2,75.9,74.2,20.6,0.0
74.0,75.6,74.0,20.6,0.0
73.9,75.5,73.9,20.5,0.0
73.9,75.5,73.9,20.5,0.0
73.8,75.4,73.8,20.5,0.0
73.8,75.4,73.8,20.5,0.0
73.8,75.4,73.8,20.5,0.0
73.6,75.2,73.6,20.6,0.0
73.5,75.1,73.5,20.6,0.0
73.3,74.9,73.3,20.7,0.0
73.1,74.7,73.1,20.8,0.0
72.9,74.5,72.9,20.9,0.0
72.8,74.3,72.8,21.0,0.0
72.6,74.2,72.6,21.1,0.0
72.5,74.1,72.5,21.3,0.0
72.4,74.0,72.4,21.4,0.0
72.3,73.8,72.3,21.6,0.0
72.1,73.6,72.1,21.7,0.0
71.8,73.3,71.8,21.9,0.0
71.4,72.9,71.4,22.0,0.0
70.9,72.5,70.9,22.2,0.0
70.4,71.9,70.4,22.4,0.0
69.9,71.4,69.9,22.5,0.0
69.4,70.9,69.4,22.7,0.0
68.9,70.4,68.9,22.8,0.0
68.5,70.0,68.5,23.0,0.0
68.2,69.7,68.2,23.1,0.0
67.9,69.4,67.9,23.3,0.0
67.6,69.1,67.6,23.4,0.0
67.4,68.8,67.4,23.5,0.0
67.1,68.5,67.1,23.6,0.0
66.8,68.2,66.8,23.7,0.0
66.5,67.9,66.5,23.8,0.0
66.1,67.6,66.1,23.9,0.0
65.8,67.2,65.8,23.9,0.0
65.5,67.0,65.5,23.9,0.0
65.3,66.7,65.3,23.9,0.0
65.2,66.6,65.2,23.9,0.0
65.1,66.5,65.1,23.9,0.0
65.0,66.4,65.0,23.8,0.0
64.9,66.3,64.9,23.8,0.0
64.9,66.3,64.9,23.7,0.0
64.8,66.2,64.8,23.6,0.0
64.7,66.1,64.7,23.5,0.0
64.6,66.1,64.6,23.4,0.0
64.6,66.0,64.6,23.3,0.0
64.5,65.9,64.5,23.2,0.0
64.5,65.9,64.5,23.1,0.0
64.5,65.9,64.5,23.0,0.0
64.6,66.0,64.6,22.9,0.0
64.7,66.1,64.7,22.7,0.0
64.8,66.2,64.8,22.6,0.0
65.0,66.4,65.0,22.5,0.0
65.1,66.6,65.1,22.4,0.0
65.3,66.7,65.3,22.3,0.0
65.3,66.7,65.3,22.3,0.0
65.4,66.8,65.4,22.2,0.0
65.4,66.8,65.4,22.1,0.0
65.4,66.8,65.4,22.1,0.0
65.4,66.8,65.4,22.1,0.0
65.5,66.9,65.5,22.0,0.0
65.6,67.0,65.6,22.0,0.0
65.7,67.1,65.7,22.1,0.0
65.9,67.3,65.9,22.1,0.0
66.0,67.5,66.0,22.1,0.0
66.2,67.6,66.2,22.2,0.0
66.3,67.7,66.3,22.2,0.0
66.4,67.8,66.4,22.3,0.0
66.4,67.8,66.4,22.4,0.0
66.4,67.9,66.4,22.4,0.0
66.4,67.9,66.4,22.5,0.0
66.4,67.9,66.4,22.6,0.0
66.5,67.9,66.5,22.7,0.0
66.5,67.9,66.5,22.8,0.1
66.6,68.0,66.6,22.9,0.1
66.7,68.1,66.7,22.9,0.2
66.8,68.2,66.8,23.0,0.2
66.9,68.3,66.9,23.1,0.3
67.0,68.4,67.0,23.1,0.4
67.1,68.5,67.1,23.2,0.6
67.1,68.6,67.1,23.2,0.7
67.2,68.7,67.2,23.3,0.9
67.3,68.7,67.3,23.3,1.1
67.3,68.8,67.3,23.3,1.4
67.4,68.9,67.4,23.3,1.7
67.4,68.9,67.4,23.3,2.0
67.5,68.9,67.5,23.2,2.3
67.5,69.0,67.5,23.2,2.7
67.5,69.0,67.5,23.1,3.2
67.6,69.0,67.6,23.1,3.6
67.6,69.1,67.6,23.0,4.1
67.7,69.1,67.7,22.9,4.6
67.7,69.2,67.7,22.9,5.1
67.8,69.3,67.8,22.8,5.6
67.9,69.4,67.9,22.7,6.2
68.0,69.5,68.0,22.6,6.7
68.2,69.7,68.2,22.5,7.3
68.3,69.8,68.3,22.5,7.8
68.5,70.0,68.5,22.4,8.4
68.6,70.1,68.6,22.3,9.0
68.8,70.3,68.8,22.3,9.5
68.9,70.4,68.9,22.2,10.1
69.0,70.5,69.0,22.2,10.7
69.1,70.6,69.1,22.2,11.2
69.2,70.7,69.2,22.2,11.8
69.3,70.8,69.3,22.2,12.3
69.3,70.8,69.3,22.2,12.8
69.3,70.8,69.3,22.2,13.3
69.4,70.9,69.4,22.3,13.8
69.4,70.9,69.4,22.4,14.2
69.4,70.9,69.4,22.4,14.7
69.4,70.9,69.4,22.5,15.1
69.5,71.0,69.5,22.7,15.5
69.4,71.0,69.4,22.8,15.9
69.4,70.9,69.4,22.9,16.3
69.4,70.9,69.4,23.1,16.7
69.3,70.8,69.3,23.2,17.0
69.2,70.7,69.2,23.4,17.3
69.1,70.6,69.1,23.5,17.6
