load_1,load_1_0,load_2_1,load_3_2,load_4_3,load_5_4,load_6_,load_7_,load_8_5,load_9_6,load_10_7,load_11_8,load_12_9,load_13_10
0,15.7,58.7,34.1,4.9,8.2,0,0,19.5,6.0,2.2,3.7,9.3,10.6
0,15.7,58.6,34.1,4.9,8.2,0,0,19.5,6.0,2.2,3.6,9.2,10.6
0,15.7,58.5,34.0,4.9,8.1,0,0,19.5,6.0,2.2,3.6,9.2,10.6
0,15.6,58.3,33.9,4.9,8.1,0,0,19.4,6.0,2.2,3.6,9.2,10.5
0,15.5,58.1,33.7,4.8,8.1,0,0,19.3,6.0,2.2,3.6,9.1,10.5
0,15.5,57.8,33.5,4.8,8.0,0,0,19.2,5.9,2.2,3.6,9.0,10.4
0,15.4,57.5,33.4,4.8,8.0,0,0,19.1,5.9,2.2,3.5,9.0,10.4
0,15.3,57.1,33.1,4.7,7.9,0,0,18.9,5.8,2.2,3.5,8.9,10.3
0,15.2,56.8,32.9,4.7,7.9,0,0,18.8,5.8,2.2,3.5,8.8,10.3
0,15.1,56.4,32.7,4.7,7.8,0,0,18.7,5.7,2.1,3.4,8.7,10.2
0,15.0,56.1,32.5,4.6,7.8,0,0,18.5,5.7,2.1,3.4,8.6,10.2
0,14.9,55.8,32.4,4.6,7.7,0,0,18.4,5.7,2.1,3.4,8.5,10.1
0,14.9,55.6,32.2,4.6,7.7,0,0,18.3,5.6,2.1,3.4,8.5,10.1
0,14.8,55.4,32.1,4.6,7.6,0,0,18.3,5.6,2.1,3.4,8.5,10.1
0,14.8,55.4,32.1,4.6,7.6,0,0,18.3,5.6,2.1,3.4,8.4,10.0
0,14.8,55.3,32.0,4.6,7.6,0,0,18.3,5.6,2.1,3.4,8.4,10.0
0,14.8,55.3,32.0,4.6,7.6,0,0,18.3,5.6,2.1,3.4,8.4,10.0
0,14.8,55.3,32.0,4.6,7.6,0,0,18.3,5.6,2.1,3.4,8.4,10.1
0,14.8,55.2,31.9,4.5,7.6,0,0,18.3,5.6,2.1,3.3,8.4,10.1
0,14.7,55.2,31.9,4.5,7.6,0,0,18.3,5.6,2.1,3.3,8.4,10.0
0,14.7,55.1,31.8,4.5,7.6,0,0,18.3,5.6,2.1,3.3,8.4,10.0
0,14.7,55.0,31.8,4.5,7.6,0,0,18.2,5.6,2.1,3.3,8.3,10.0
0,14.7,54.9,31.7,4.5,7.6,0,0,18.2,5.6,2.1,3.3,8.3,10.0
0,14.7,54.8,31.7,4.5,7.6,0,0,18.1,5.5,2.1,3.3,8.3,10.0
0,14.7,54.7,31.6,4.5,7.6,0,0,18.1,5.5,2.0,3.3,8.2,10.0
0,14.6,54.6,31.6,4.5,7.5,0,0,18.1,5.5,2.0,3.3,8.2,10.0
0,14.6,54.6,31.6,4.5,7.5,0,0,18.1,5.5,2.0,3.3,8.2,10.0
0,14.6,54.5,31.6,4.5,7.5,0,0,18.1,5.5,2.0,3.3,8.2,10.0
0,14.6,54.5,31.6,4.5,7.5,0,0,18.1,5.5,2.0,3.3,8.2,10.0
0,14.5,54.4,31.5,4.4,7.5,0,0,18.0,5.5,2.0,3.3,8.2,10.0
0,14.5,54.2,31.4,4.4,7.5,0,0,18.0,5.5,2.0,3.3,8.1,9.9
0,14.4,54.0,31.3,4.4,7.4,0,0,17.9,5.5,2.0,3.2,8.1,9.9
0,14.3,53.7,31.1,4.4,7.4,0,0,17.8,5.4,2.0,3.2,8.0,9.9
0,14.2,53.4,30.9,4.4,7.4,0,0,17.7,5.4,2.0,3.2,8.0,9.8
0,14.1,53.1,30.7,4.3,7.3,0,0,17.6,5.4,2.0,3.2,7.9,9.8
0,14.0,52.8,30.6,4.3,7.3,0,0,17.5,5.3,2.0,3.1,7.8,9.7
0,14.0,52.6,30.4,4.3,7.2,0,0,17.5,5.3,2.0,3.1,7.8,9.7
0,13.9,52.3,30.3,4.2,7.2,0,0,17.4,5.3,1.9,3.1,7.7,9.6
0,13.9,52.1,30.2,4.2,7.2,0,0,17.3,5.2,1.9,3.1,7.7,9.6
0,13.8,52.0,30.1,4.2,7.1,0,0,17.3,5.2,1.9,3.1,7.7,9.6
0,13.8,51.8,30.0,4.2,7.1,0,0,17.3,5.2,1.9,3.1,7.6,9.6
0,13.7,51.6,29.9,4.2,7.1,0,0,17.2,5.2,1.9,3.0,7.6,9.5
0,13.7,51.5,29.8,4.2,7.1,0,0,17.2,5.2,1.9,3.0,7.6,9.5
0,13.7,51.3,29.7,4.2,7.0,0,0,17.1,5.2,1.9,3.0,7.5,9.5
0,13.6,51.1,29.6,4.1,7.0,0,0,17.0,5.1,1.9,3.0,7.5,9.4
0,13.6,50.9,29.4,4.1,7.0,0,0,17.0,5.1,1.9,3.0,7.5,9.4
0,13.5,50.7,29.3,4.1,7.0,0,0,16.9,5.1,1.9,3.0,7.4,9.4
0,13.5,50.5,29.2,4.1,6.9,0,0,16.8,5.1,1.9,3.0,7.4,9.3
0,13.4,50.4,29.1,4.1,6.9,0,0,16.8,5.1,1.9,3.0,7.4,9.3
0,13.4,50.3,29.0,4.1,6.9,0,0,16.8,5.0,1.9,2.9,7.3,9.3
0,13.3,50.2,29.0,4.1,6.9,0,0,16.8,5.0,1.9,2.9,7.3,9.3
0,13.3,50.2,28.9,4.1,6.9,0,0,16.7,5.0,1.9,2.9,7.3,9.3
0,13.3,50.1,28.9,4.1,6.9,0,0,16.7,5.0,1.9,2.9,7.3,9.3
0,13.3,50.1,28.9,4.0,6.9,0,0,16.7,5.0,1.9,2.9,7.3,9.3
0,13.2,50.0,28.9,4.0,6.8,0,0,16.7,5.0,1.8,2.9,7.2,9.3
0,13.2,50.0,28.8,4.0,6.8,0,0,16.7,5.0,1.8,2.9,7.2,9.3
0,13.2,49.9,28.8,4.0,6.8,0,0,16.7,5.0,1.8,2.9,7.2,9.2
0,13.2,49.8,28.7,4.0,6.8,0,0,16.6,5.0,1.8,2.9,7.2,9.2
0,13.1,49.7,28.7,4.0,6.8,0,0,16.6,5.0,1.8,2.9,7.2,9.2
0,13.1,49.7,28.6,4.0,6.8,0,0,16.6,5.0,1.8,2.9,7.2,9.2
0,13.1,49.6,28.6,4.0,6.8,0,0,16.6,5.0,1.8,2.9,7.2,9.2
0,13.1,49.7,28.6,4.0,6.8,0,0,16.6,5.0,1.8,2.9,7.2,9.2
0,13.1,49.7,28.7,4.0,6.8,0,0,16.7,5.0,1.8,2.9,7.2,9.2
0,13.2,49.8,28.7,4.0,6.8,0,0,16.7,5.0,1.8,2.9,7.2,9.2
0,13.2,49.8,28.8,4.0,6.8,0,0,16.8,5.0,1.9,2.9,7.2,9.3
0,13.2,49.9,28.8,4.0,6.8,0,0,16.8,5.0,1.9,2.9,7.3,9.3
0,13.2,50.0,28.9,4.0,6.8,0,0,16.9,5.0,1.9,2.9,7.3,9.3
0,13.2,50.0,28.9,4.0,6.8,0,0,16.9,5.0,1.9,2.9,7.3,9.3
0,13.2,50.0,28.9,4.0,6.8,0,0,16.9,5.0,1.9,2.9,7.3,9.3
0,13.2,50.0,28.8,4.0,6.8,0,0,16.9,5.0,1.9,2.9,7.3,9.3
0,13.2,50.0,28.8,4.0,6.8,0,0,16.9,5.0,1.9,2.9,7.3,9.3
0,13.2,50.0,28.8,4.0,6.8,0,0,16.9,5.0,1.9,2.9,7.3,9.3
0,13.2,50.0,28.8,4.0,6.8,0,0,16.9,5.0,1.9,2.9,7.3,9.3
0,13.2,50.1,28.9,4.0,6.9,0,0,17.0,5.0,1.9,2.9,7.3,9.3
0,13.2,50.2,28.9,4.0,6.9,0,0,17.0,5.0,1.9,3.0,7.4,9.3
0,13.2,50.3,29.0,4.1,6.9,0,0,17.1,5.1,1.9,3.0,7.4,9.3
0,13.2,50.4,29.1,4.1,6.9,0,0,17.1,5.1,1.9,3.0,7.4,9.3
0,13.3,50.5,29.2,4.1,6.9,0,0,17.2,5.1,1.9,3.0,7.4,9.3
0,13.3,50.5,29.2,4.1,6.9,0,0,17.3,5.1,1.9,3.0,7.4,9.4
0,13.3,50.6,29.3,4.1,6.9,0,0,17.3,5.1,1.9,3.0,7.4,9.4
0,13.3,50.6,29.3,4.1,6.9,0,0,17.3,5.1,1.9,3.0,7.4,9.4
0,13.3,50.6,29.4,4.1,6.9,0,0,17.3,5.1,1.9,3.0,7.4,9.4
0,13.3,50.6,29.4,4.1,6.9,0,0,17.4,5.1,1.9,3.0,7.4,9.4
0,13.3,50.6,29.5,4.1,6.9,0,0,17.4,5.1,1.9,3.0,7.3,9.4
0,13.3,50.7,29.5,4.1,6.9,0,0,17.4,5.1,1.9,3.0,7.3,9.4
0,13.3,50.7,29.5,4.1,7.0,0,0,17.5,5.2,1.9,3.0,7.3,9.4
0,13.3,50.8,29.6,4.1,7.0,0,0,17.5,5.2,1.9,3.0,7.3,9.4
0,13.4,50.9,29.7,4.1,7.0,0,0,17.5,5.2,1.9,3.0,7.3,9.5
0,13.4,51.0,29.7,4.1,7.0,0,0,17.6,5.2,1.9,3.0,7.4,9.5
0,13.4,51.1,29.8,4.1,7.0,0,0,17.6,5.2,1.9,3.0,7.4,9.5
0,13.4,51.2,29.9,4.2,7.0,0,0,17.6,5.2,1.9,3.0,7.4,9.5
0,13.5,51.4,29.9,4.2,7.0,0,0,17.7,5.2,1.9,3.0,7.4,9.5
0,13.5,51.5,30.0,4.2,7.1,0,0,17.7,5.2,1.9,3.0,7.5,9.6
0,13.5,51.6,30.0,4.2,7.1,0,0,17.7,5.2,1.9,3.0,7.5,9.6
0,13.5,51.8,30.1,4.2,7.1,0,0,17.7,5.2,1.9,3.0,7.5,9.6
0,13.6,51.9,30.1,4.2,7.1,0,0,17.7,5.2,1.9,3.0,7.5,9.7
0,13.6,52.1,30.2,4.2,7.1,0,0,17.7,5.2,1.9,3.0,7.6,9.7
0,13.6,52.2,30.2,4.2,7.1,0,0,17.7,5.2,1.9,3.1,7.6,9.7
0,13.7,52.3,30.2,4.2,7.1,0,0,17.8,5.2,1.9,3.1,7.6,9.7
0,13.7,52.4,30.2,4.2,7.1,0,0,17.8,5.2,1.9,3.1,7.7,9.7
0,13.7,52.5,30.2,4.2,7.1,0,0,17.9,5.2,2.0,3.1,7.7,9.7
0,13.7,52.6,30.3,4.2,7.1,0,0,17.9,5.2,2.0,3.1,7.7,9.7
0,13.8,52.7,30.3,4.2,7.1,0,0,18.0,5.3,2.0,3.1,7.8,9.7
0,13.8,52.8,30.4,4.3,7.2,0,0,18.1,5.3,2.0,3.2,7.8,9.7
0,13.8,52.9,30.5,4.3,7.2,0,0,18.1,5.3,2.0,3.2,7.8,9.8
0,13.8,53.0,30.6,4.3,7.2,0,0,18.2,5.3,2.0,3.2,7.9,9.8
0,13.8,53.2,30.7,4.3,7.2,0,0,18.2,5.3,2.0,3.2,7.9,9.8
0,13.9,53.3,30.8,4.3,7.3,0,0,18.3,5.4,2.0,3.2,8.0,9.9
0,13.9,53.5,30.9,4.4,7.3,0,0,18.4,5.4,2.0,3.2,8.0,9.9
0,14.0,53.7,31.1,4.4,7.3,0,0,18.4,5.4,2.0,3.2,8.0,9.9
0,14.0,53.9,31.2,4.4,7.4,0,0,18.5,5.4,2.0,3.3,8.1,10.0
0,14.1,54.2,31.3,4.4,7.4,0,0,18.5,5.4,2.1,3.3,8.1,10.0
0,14.1,54.4,31.5,4.4,7.4,0,0,18.6,5.5,2.1,3.3,8.2,10.1
0,14.2,54.6,31.6,4.5,7.5,0,0,18.6,5.5,2.1,3.3,8.2,10.1
0,14.2,54.9,31.7,4.5,7.5,0,0,18.7,5.5,2.1,3.3,8.2,10.1
0,14.3,55.1,31.8,4.5,7.5,0,0,18.7,5.5,2.1,3.3,8.3,10.2
0,14.3,55.3,31.9,4.5,7.5,0,0,18.7,5.5,2.1,3.3,8.3,10.2
0,14.4,55.5,32.0,4.5,7.6,0,0,18.7,5.5,2.1,3.4,8.3,10.2
0,14.4,55.7,32.1,4.6,7.6,0,0,18.8,5.5,2.1,3.4,8.3,10.2
0,14.4,55.9,32.2,4.6,7.6,0,0,18.8,5.5,2.1,3.4,8.3,10.3
0,14.5,56.0,32.3,4.6,7.6,0,0,18.8,5.5,2.1,3.4,8.4,10.3
0,14.5,56.2,32.4,4.6,7.6,0,0,18.8,5.6,2.1,3.4,8.4,10.3
0,14.6,56.4,32.4,4.6,7.7,0,0,18.8,5.6,2.1,3.4,8.4,10.3
0,14.6,56.5,32.5,4.7,7.7,0,0,18.8,5.6,2.2,3.4,8.4,10.3
0,14.7,56.7,32.5,4.7,7.7,0,0,18.9,5.6,2.2,3.4,8.5,10.3
0,14.7,56.8,32.6,4.7,7.7,0,0,18.9,5.6,2.2,3.4,8.5,10.3
0,14.8,57.0,32.6,4.7,7.7,0,0,18.9,5.6,2.2,3.4,8.5,10.3
0,14.8,57.1,32.7,4.7,7.7,0,0,18.8,5.6,2.2,3.4,8.5,10.4
0,14.8,57.2,32.7,4.7,7.8,0,0,18.8,5.6,2.2,3.4,8.5,10.4
0,14.8,57.3,32.7,4.7,7.8,0,0,18.8,5.6,2.2,3.5,8.5,10.4
0,14.9,57.3,32.8,4.7,7.8,0,0,18.8,5.6,2.2,3.5,8.6,10.4
0,14.9,57.4,32.8,4.8,7.8,0,0,18.8,5.6,2.2,3.5,8.6,10.4
0,14.9,57.5,32.8,4.8,7.8,0,0,18.8,5.6,2.2,3.5,8.6,10.4
0,14.9,57.6,32.8,4.8,7.8,0,0,18.8,5.6,2.2,3.5,8.6,10.4
0,14.9,57.7,32.9,4.8,7.8,0,0,18.8,5.6,2.2,3.5,8.6,10.4
0,15.0,57.8,32.9,4.8,7.8,0,0,18.8,5.6,2.2,3.5,8.6,10.4
0,15.0,57.9,32.9,4.8,7.8,0,0,18.8,5.6,2.2,3.5,8.6,10.4
