1_G,2_G,3_G,4_G,5_G,6_G,7_G,8_G,9_G,10_G,11_G,12_G,13_G,14_G
74.8,19.3,76.4,0,0,74.8,0,0.0,0,0,0,0,0,0
74.7,19.2,76.4,0,0,74.7,0,0.0,0,0,0,0,0,0
74.6,19.2,76.2,0,0,74.6,0,0.0,0,0,0,0,0,0
74.3,19.2,75.9,0,0,74.3,0,0.0,0,0,0,0,0,0
73.9,19.2,75.6,0,0,73.9,0,0.0,0,0,0,0,0,0
73.5,19.2,75.1,0,0,73.5,0,0.0,0,0,0,0,0,0
73.0,19.2,74.6,0,0,73.0,0,0.0,0,0,0,0,0,0
72.5,19.2,74.1,0,0,72.5,0,0.0,0,0,0,0,0,0
72.0,19.2,73.5,0,0,72.0,0,0.0,0,0,0,0,0,0
71.4,19.2,73.0,0,0,71.4,0,0.0,0,0,0,0,0,0
70.9,19.3,72.5,0,0,70.9,0,0.0,0,0,0,0,0,0
70.5,19.3,72.0,0,0,70.5,0,0.0,0,0,0,0,0,0
70.1,19.4,71.7,0,0,70.1,0,0.0,0,0,0,0,0,0
69.9,19.4,71.4,0,0,69.9,0,0.0,0,0,0,0,0,0
69.8,19.5,71.3,0,0,69.8,0,0.0,0,0,0,0,0,0
69.7,19.6,71.2,0,0,69.7,0,0.0,0,0,0,0,0,0
69.6,19.7,71.1,0,0,69.6,0,0.0,0,0,0,0,0,0
69.6,19.7,71.1,0,0,69.6,0,0.0,0,0,0,0,0,0
69.5,19.8,71.0,0,0,69.5,0,0.0,0,0,0,0,0,0
69.4,19.9,70.9,0,0,69.4,0,0.0,0,0,0,0,0,0
69.2,20.0,70.7,0,0,69.2,0,0.0,0,0,0,0,0,0
69.0,20.1,70.5,0,0,69.0,0,0.0,0,0,0,0,0,0
68.9,20.2,70.3,0,0,68.9,0,0.0,0,0,0,0,0,0
68.7,20.4,70.2,0,0,68.7,0,0.0,0,0,0,0,0,0
68.5,20.5,70.0,0,0,68.5,0,0.0,0,0,0,0,0,0
68.4,20.6,69.9,0,0,68.4,0,0.0,0,0,0,0,0,0
68.3,20.7,69.8,0,0,68.3,0,0.0,0,0,0,0,0,0
68.2,20.9,69.7,0,0,68.2,0,0.0,0,0,0,0,0,0
68.1,21.0,69.5,0,0,68.1,0,0.0,0,0,0,0,0,0
67.9,21.1,69.3,0,0,67.9,0,0.0,0,0,0,0,0,0
67.6,21.3,69.1,0,0,67.6,0,0.0,0,0,0,0,0,0
67.2,21.4,68.7,0,0,67.2,0,0.0,0,0,0,0,0,0
66.8,21.6,68.2,0,0,66.8,0,0.0,0,0,0,0,0,0
66.3,21.7,67.8,0,0,66.3,0,0.0,0,0,0,0,0,0
65.8,21.9,67.2,0,0,65.8,0,0.0,0,0,0,0,0,0
65.3,22.0,66.8,0,0,65.3,0,0.0,0,0,0,0,0,0
64.9,22.2,66.3,0,0,64.9,0,0.0,0,0,0,0,0,0
64.5,22.3,65.9,0,0,64.5,0,0.0,0,0,0,0,0,0
64.2,22.5,65.6,0,0,64.2,0,0.0,0,0,0,0,0,0
63.9,22.6,65.3,0,0,63.9,0,0.0,0,0,0,0,0,0
63.7,22.8,65.1,0,0,63.7,0,0.0,0,0,0,0,0,0
63.4,22.9,64.8,0,0,63.4,0,0.0,0,0,0,0,0,0
63.1,23.1,64.5,0,0,63.1,0,0.0,0,0,0,0,0,0
62.8,23.3,64.2,0,0,62.8,0,0.0,0,0,0,0,0,0
62.5,23.4,63.8,0,0,62.5,0,0.0,0,0,0,0,0,0
62.2,23.6,63.5,0,0,62.2,0,0.0,0,0,0,0,0,0
61.8,23.7,63.2,0,0,61.8,0,0.0,0,0,0,0,0,0
61.5,23.9,62.9,0,0,61.5,0,0.0,0,0,0,0,0,0
61.3,24.0,62.6,0,0,61.3,0,0.0,0,0,0,0,0,0
61.1,24.2,62.4,0,0,61.1,0,0.0,0,0,0,0,0,0
60.9,24.3,62.2,0,0,60.9,0,0.0,0,0,0,0,0,0
60.8,24.4,62.1,0,0,60.8,0,0.0,0,0,0,0,0,0
60.7,24.6,62.0,0,0,60.7,0,0.0,0,0,0,0,0,0
60.5,24.7,61.9,0,0,60.5,0,0.0,0,0,0,0,0,0
60.4,24.8,61.7,0,0,60.4,0,0.0,0,0,0,0,0,0
60.3,25.0,61.6,0,0,60.3,0,0.0,0,0,0,0,0,0
60.1,25.1,61.4,0,0,60.1,0,0.0,0,0,0,0,0,0
60.0,25.2,61.3,0,0,60.0,0,0.0,0,0,0,0,0,0
59.8,25.4,61.1,0,0,59.8,0,0.0,0,0,0,0,0,0
59.7,25.5,61.0,0,0,59.7,0,0.0,0,0,0,0,0,0
59.7,25.6,61.0,0,0,59.7,0,0.0,0,0,0,0,0,0
59.7,25.7,61.0,0,0,59.7,0,0.0,0,0,0,0,0,0
59.7,25.8,61.0,0,0,59.7,0,0.0,0,0,0,0,0,0
59.8,26.0,61.1,0,0,59.8,0,0.0,0,0,0,0,0,0
59.9,26.1,61.2,0,0,59.9,0,0.0,0,0,0,0,0,0
59.9,26.2,61.2,0,0,59.9,0,0.0,0,0,0,0,0,0
60.0,26.3,61.3,0,0,60.0,0,0.0,0,0,0,0,0,0
60.0,26.4,61.3,0,0,60.0,0,0.0,0,0,0,0,0,0
60.0,26.5,61.3,0,0,60.0,0,0.0,0,0,0,0,0,0
59.9,26.6,61.2,0,0,59.9,0,0.0,0,0,0,0,0,0
59.9,26.7,61.2,0,0,59.9,0,0.0,0,0,0,0,0,0
59.9,26.8,61.2,0,0,59.9,0,0.0,0,0,0,0,0,0
59.9,26.9,61.2,0,0,59.9,0,0.0,0,0,0,0,0,0
60.0,27.0,61.3,0,0,60.0,0,0.0,0,0,0,0,0,0
60.1,27.1,61.4,0,0,60.1,0,0.0,0,0,0,0,0,0
60.2,27.2,61.5,0,0,60.2,0,0.0,0,0,0,0,0,0
60.3,27.3,61.6,0,0,60.3,0,0.0,0,0,0,0,0,0
60.4,27.4,61.8,0,0,60.4,0,0.0,0,0,0,0,0,0
60.5,27.5,61.9,0,0,60.5,0,0.0,0,0,0,0,0,0
60.6,27.6,61.9,0,0,60.6,0,0.0,0,0,0,0,0,0
60.6,27.7,61.9,0,0,60.6,0,0.0,0,0,0,0,0,0
60.6,27.7,62.0,0,0,60.6,0,0.0,0,0,0,0,0,0
60.7,27.8,62.0,0,0,60.7,0,0.0,0,0,0,0,0,0
60.7,27.9,62.0,0,0,60.7,0,0.0,0,0,0,0,0,0
60.7,28.0,62.0,0,0,60.7,0,0.0,0,0,0,0,0,0
60.7,28.0,62.1,0,0,60.7,0,0.1,0,0,0,0,0,0
60.8,28.1,62.1,0,0,60.8,0,0.1,0,0,0,0,0,0
60.9,28.1,62.2,0,0,60.9,0,0.2,0,0,0,0,0,0
61.0,28.2,62.3,0,0,61.0,0,0.3,0,0,0,0,0,0
61.1,28.2,62.4,0,0,61.1,0,0.4,0,0,0,0,0,0
61.2,28.2,62.5,0,0,61.2,0,0.5,0,0,0,0,0,0
61.3,28.3,62.6,0,0,61.3,0,0.7,0,0,0,0,0,0
61.4,28.3,62.7,0,0,61.4,0,0.9,0,0,0,0,0,0
61.4,28.3,62.8,0,0,61.4,0,1.1,0,0,0,0,0,0
61.5,28.3,62.8,0,0,61.5,0,1.3,0,0,0,0,0,0
61.5,28.3,62.9,0,0,61.5,0,1.6,0,0,0,0,0,0
61.6,28.3,62.9,0,0,61.6,0,1.9,0,0,0,0,0,0
