1_G,2_G,3_G,4_G,5_G,6_G,7_G,8_G,9_G,10_G,11_G,12_G,13_G,14_G
75.6,17.5,75.8,0,0,74.4,0,0.0,0,0,0,0,0,0
74.4,18.1,76.9,0,0,73.4,0,0.0,0,0,0,0,0,0
73.0,18.6,75.7,0,0,74.6,0,0.0,0,0,0,0,0,0
73.3,19.8,74.3,0,0,72.9,0,0.0,0,0,0,0,0,0
73.1,20.1,75.7,0,0,73.2,0,0.0,0,0,0,0,0,0
74.7,21.1,74.6,0,0,72.3,0,0.0,0,0,0,0,0,0
72.2,21.4,73.6,0,0,72.7,0,0.0,0,0,0,0,0,0
71.0,22.0,73.6,0,0,72.8,0,0.0,0,0,0,0,0,0
70.4,22.5,72.3,0,0,69.8,0,0.0,0,0,0,0,0,0
70.6,23.0,71.5,0,0,70.9,0,0.0,0,0,0,0,0,0
70.3,23.6,70.8,0,0,70.9,0,0.0,0,0,0,0,0,0
66.8,24.2,71.5,0,0,69.5,0,0.0,0,0,0,0,0,0
67.0,25.3,69.9,0,0,68.8,0,0.0,0,0,0,0,0,0
68.5,25.4,69.6,0,0,67.6,0,0.0,0,0,0,0,0,0
67.6,25.8,68.8,0,0,66.1,0,0.0,0,0,0,0,0,0
66.7,26.4,68.0,0,0,68.0,0,0.0,0,0,0,0,0,0
66.7,26.9,67.9,0,0,67.3,0,0.0,0,0,0,0,0,0
67.0,27.3,67.2,0,0,65.3,0,0.0,0,0,0,0,0,0
66.5,28.1,67.9,0,0,65.6,0,0.0,0,0,0,0,0,0
66.0,28.0,67.7,0,0,67.0,0,0.0,0,0,0,0,0,0
67.3,28.9,69.0,0,0,66.5,0,0.0,0,0,0,0,0,0
66.4,28.5,67.0,0,0,66.7,0,0.0,0,0,0,0,0,0
66.1,29.8,67.1,0,0,65.7,0,0.0,0,0,0,0,0,0
64.9,29.4,65.8,0,0,64.8,0,0.0,0,0,0,0,0,0
64.6,30.5,66.1,0,0,65.4,0,0.0,0,0,0,0,0,0
65.9,30.2,65.9,0,0,65.1,0,0.0,0,0,0,0,0,0
65.1,31.0,66.6,0,0,64.8,0,0.0,0,0,0,0,0,0
63.7,30.6,65.7,0,0,65.1,0,0.0,0,0,0,0,0,0
65.1,31.5,65.8,0,0,64.7,0,0.0,0,0,0,0,0,0
62.7,32.0,65.6,0,0,64.3,0,0.0,0,0,0,0,0,0
63.3,32.7,64.1,0,0,64.0,0,0.0,0,0,0,0,0,0
64.3,32.5,65.0,0,0,64.8,0,0.0,0,0,0,0,0,0
64.0,33.2,63.6,0,0,62.4,0,0.0,0,0,0,0,0,0
61.9,33.4,63.9,0,0,62.7,0,0.0,0,0,0,0,0,0
62.0,34.5,62.6,0,0,62.1,0,0.0,0,0,0,0,0,0
60.9,34.3,62.5,0,0,61.3,0,0.0,0,0,0,0,0,0
61.4,34.0,62.6,0,0,61.5,0,0.0,0,0,0,0,0,0
60.8,34.0,61.8,0,0,59.1,0,0.0,0,0,0,0,0,0
59.2,34.8,60.1,0,0,61.4,0,0.0,0,0,0,0,0,0
60.9,35.1,60.3,0,0,59.2,0,0.0,0,0,0,0,0,0
59.8,35.6,62.1,0,0,59.3,0,0.0,0,0,0,0,0,0
59.1,36.2,60.4,0,0,57.6,0,0.0,0,0,0,0,0,0
58.8,35.2,59.6,0,0,58.7,0,0.0,0,0,0,0,0,0
57.5,36.8,60.0,0,0,58.2,0,0.0,0,0,0,0,0,0
57.3,37.0,58.8,0,0,58.4,0,0.0,0,0,0,0,0,0
56.5,37.6,57.7,0,0,57.7,0,0.0,0,0,0,0,0,0
56.5,38.1,57.9,0,0,58.1,0,0.0,0,0,0,0,0,0
56.3,38.5,59.3,0,0,56.7,0,0.0,0,0,0,0,0,0
56.3,39.9,57.4,0,0,55.6,0,0.0,0,0,0,0,0,0
55.5,39.6,56.8,0,0,55.7,0,0.0,0,0,0,0,0,0
56.5,39.7,56.2,0,0,55.2,0,0.0,0,0,0,0,0,0
54.4,40.8,56.3,0,0,54.7,0,0.0,0,0,0,0,0,0
55.9,40.9,55.6,0,0,54.1,0,0.0,0,0,0,0,0,0
54.3,41.3,56.4,0,0,54.5,0,0.0,0,0,0,0,0,0
55.0,41.9,56.3,0,0,53.9,0,0.0,0,0,0,0,0,0
53.4,42.3,55.3,0,0,54.1,0,0.0,0,0,0,0,0,0
54.4,43.6,55.2,0,0,53.7,0,0.0,0,0,0,0,0,0
54.4,43.8,53.9,0,0,53.6,0,0.0,0,0,0,0,0,0
53.3,44.3,53.7,0,0,53.1,0,0.0,0,0,0,0,0,0
52.9,44.7,54.9,0,0,52.6,0,0.0,0,0,0,0,0,0
52.9,45.3,53.6,0,0,52.5,0,0.0,0,0,0,0,0,0
52.5,46.2,55.1,0,0,53.6,0,0.0,0,0,0,0,0,0
52.0,46.8,53.3,0,0,52.1,0,0.0,0,0,0,0,0,0
51.6,47.2,53.6,0,0,52.5,0,0.0,0,0,0,0,0,0
52.6,48.0,53.6,0,0,52.5,0,0.0,0,0,0,0,0,0
51.8,47.8,51.9,0,0,51.9,0,0.0,0,0,0,0,0,0
51.7,49.0,53.4,0,0,52.1,0,0.0,0,0,0,0,0,0
51.8,49.8,53.6,0,0,52.5,0,0.0,0,0,0,0,0,0
51.3,49.5,52.7,0,0,52.7,0,0.0,0,0,0,0,0,0
51.7,49.9,52.4,0,0,52.1,0,0.0,0,0,0,0,0,0
51.7,50.8,52.8,0,0,50.7,0,0.0,0,0,0,0,0,0
52.4,51.6,52.2,0,0,50.8,0,0.0,0,0,0,0,0,0
52.5,51.1,52.3,0,0,52.2,0,0.0,0,0,0,0,0,0
51.4,52.0,51.4,0,0,50.6,0,0.0,0,0,0,0,0,0
50.8,52.5,52.5,0,0,51.3,0,0.0,0,0,0,0,0,0
51.7,52.3,52.4,0,0,52.1,0,0.0,0,0,0,0,0,0
51.0,52.8,52.3,0,0,51.2,0,0.0,0,0,0,0,0,0
52.1,52.8,52.8,0,0,50.9,0,0.0,0,0,0,0,0,0
51.1,53.3,51.7,0,0,51.0,0,0.0,0,0,0,0,0,0
51.4,53.5,52.8,0,0,50.9,0,0.0,0,0,0,0,0,0
51.2,54.9,53.0,0,0,52.6,0,0.0,0,0,0,0,0,0
51.8,55.5,52.5,0,0,51.0,0,0.0,0,0,0,0,0,0
51.0,54.8,50.9,0,0,51.2,0,0.0,0,0,0,0,0,0
51.2,55.7,53.8,0,0,51.6,0,0.0,0,0,0,0,0,0
50.9,55.9,51.9,0,0,51.2,0,0.0,0,0,0,0,0,0
51.6,56.2,50.9,0,0,51.7,0,0.1,0,0,0,0,0,0
51.3,56.5,52.6,0,0,51.3,0,0.1,0,0,0,0,0,0
50.7,56.7,52.1,0,0,51.1,0,0.2,0,0,0,0,0,0
50.1,56.5,51.7,0,0,51.2,0,0.2,0,0,0,0,0,0
51.3,57.4,53.1,0,0,51.0,0,0.3,0,0,0,0,0,0
52.3,56.2,52.5,0,0,50.5,0,0.5,0,0,0,0,0,0
51.1,57.0,52.7,0,0,51.8,0,0.6,0,0,0,0,0,0
50.7,57.0,52.1,0,0,50.9,0,0.8,0,0,0,0,0,0
51.2,58.0,52.3,0,0,51.4,0,1.0,0,0,0,0,0,0
52.1,57.9,52.8,0,0,50.8,0,1.2,0,0,0,0,0,0
52.3,57.2,53.0,0,0,51.2,0,1.5,0,0,0,0,0,0
50.8,57.9,52.6,0,0,52.2,0,1.8,0,0,0,0,0,0
50.6,57.1,52.6,0,0,52.1,0,2.2,0,0,0,0,0,0
52.0,57.1,52.4,0,0,50.8,0,2.6,0,0,0,0,0,0
51.5,58.2,52.5,0,0,50.6,0,3.0,0,0,0,0,0,0
51.7,58.0,52.3,0,0,51.3,0,3.4,0,0,0,0,0,0
50.2,58.4,53.1,0,0,50.8,0,3.9,0,0,0,0,0,0
50.9,57.1,52.8,0,0,50.7,0,4.4,0,0,0,0,0,0
50.8,58.3,52.4,0,0,50.6,0,4.9,0,0,0,0,0,0
51.0,58.8,51.8,0,0,50.8,0,5.5,0,0,0,0,0,0
51.6,58.0,51.7,0,0,51.6,0,6.0,0,0,0,0,0,0
51.4,58.6,52.0,0,0,51.1,0,6.6,0,0,0,0,0,0
50.9,58.0,51.8,0,0,51.4,0,7.1,0,0,0,0,0,0
51.7,59.3,53.0,0,0,51.1,0,7.6,0,0,0,0,0,0
50.5,58.6,52.6,0,0,50.8,0,8.2,0,0,0,0,0,0
51.0,59.2,53.3,0,0,50.6,0,8.7,0,0,0,0,0,0
51.7,59.5,52.6,0,0,51.3,0,9.3,0,0,0,0,0,0
51.9,58.8,53.2,0,0,51.9,0,9.7,0,0,0,0,0,0
51.4,60.0,52.2,0,0,51.6,0,10.0,0,0,0,0,0,0
51.9,59.3,52.5,0,0,51.5,0,10.8,0,0,0,0,0,0
51.5,61.0,53.1,0,0,51.8,0,11.1,0,0,0,0,0,0
52.7,60.4,53.2,0,0,51.6,0,11.4,0,0,0,0,0,0
51.2,60.1,52.9,0,0,52.0,0,11.9,0,0,0,0,0,0
52.2,60.6,54.0,0,0,51.2,0,12.7,0,0,0,0,0,0
51.4,60.0,53.0,0,0,51.6,0,13.1,0,0,0,0,0,0
52.2,60.3,54.4,0,0,51.5,0,13.4,0,0,0,0,0,0
52.3,60.7,52.6,0,0,52.6,0,13.7,0,0,0,0,0,0
51.8,60.7,52.6,0,0,51.8,0,13.9,0,0,0,0,0,0
52.5,61.1,53.5,0,0,52.3,0,13.9,0,0,0,0,0,0
52.2,60.8,53.5,0,0,52.3,0,14.6,0,0,0,0,0,0
52.2,61.1,53.6,0,0,52.5,0,15.0,0,0,0,0,0,0
51.9,61.8,53.9,0,0,52.4,0,15.1,0,0,0,0,0,0
51.8,62.0,53.4,0,0,52.0,0,15.6,0,0,0,0,0,0
52.5,62.3,52.5,0,0,52.7,0,15.9,0,0,0,0,0,0
51.8,61.8,53.5,0,0,52.5,0,15.9,0,0,0,0,0,0
51.7,63.4,53.0,0,0,52.7,0,16.4,0,0,0,0,0,0
52.2,62.5,52.5,0,0,52.8,0,16.5,0,0,0,0,0,0
50.9,62.0,51.8,0,0,50.7,0,16.5,0,0,0,0,0,0
51.2,62.8,53.4,0,0,52.8,0,16.4,0,0,0,0,0,0
50.8,62.1,52.2,0,0,52.0,0,16.6,0,0,0,0,0,0
52.2,63.5,53.0,0,0,52.6,0,17.4,0,0,0,0,0,0
52.4,61.9,51.8,0,0,51.2,0,17.2,0,0,0,0,0,0
51.6,63.9,52.1,0,0,52.5,0,17.3,0,0,0,0,0,0
51.6,63.5,54.4,0,0,52.4,0,17.5,0,0,0,0,0,0
51.5,64.0,53.9,0,0,52.0,0,17.3,0,0,0,0,0,0
51.0,65.4,54.4,0,0,52.7,0,17.7,0,0,0,0,0,0
52.6,63.5,52.5,0,0,52.0,0,17.8,0,0,0,0,0,0
51.3,64.2,52.0,0,0,51.7,0,17.7,0,0,0,0,0,0
52.5,63.8,53.0,0,0,51.4,0,17.6,0,0,0,0,0,0
52.3,64.4,54.2,0,0,52.3,0,17.6,0,0,0,0,0,0
52.6,64.6,53.4,0,0,51.7,0,17.6,0,0,0,0,0,0
52.2,64.3,53.3,0,0,52.4,0,17.6,0,0,0,0,0,0
51.8,64.9,53.1,0,0,52.2,0,17.6,0,0,0,0,0,0
53.0,64.6,53.8,0,0,52.3,0,17.4,0,0,0,0,0,0
52.9,64.3,53.6,0,0,53.0,0,17.5,0,0,0,0,0,0
52.9,64.1,54.5,0,0,52.3,0,17.4,0,0,0,0,0,0
52.2,64.7,53.6,0,0,52.7,0,17.0,0,0,0,0,0,0
52.9,64.9,55.3,0,0,52.7,0,17.0,0,0,0,0,0,0
53.0,64.4,54.8,0,0,53.8,0,16.7,0,0,0,0,0,0
54.4,64.3,54.3,0,0,52.8,0,16.4,0,0,0,0,0,0
53.4,65.3,53.4,0,0,53.9,0,16.2,0,0,0,0,0,0
53.9,64.5,55.0,0,0,53.6,0,16.1,0,0,0,0,0,0
